year,branch_code,visits,registrations,circulation,sessions
2018,FO,190668,4097,227453,37264
2018,FP,139776,1132,103736,29894
2018,FV,546827,8251,683924,130320
2018,GE,99576,774,171810,16717
2018,GHP,164412,942,202870,30554
2018,GW,57017,477,97265,9772
2018,HB,44973,783,156811,6015
2018,HC,57664,1016,145360,16657
2018,HIL,116494,1057,298415,16987
2018,HP,200533,1525,302244,32396
2018,HS,35770,790,53901,10281
2018,HW,101360,680,55565,10942
2018,JD,154666,1672,269642,43864
2018,JO,78623,907,160471,18622
2018,JS,83508,1270,81754,23749
2018,KE,81014,1492,130416,29139
2018,LB,53829,908,130359,14458
2018,LE,162265,1511,344926,20752
2018,LO,206804,2111,349360,40048
2018,LS,327094,3555,322224,108743
2018,MA,122506,1195,242978,26001
2018,MAL,294944,3394,312335,83951
2018,MAS,216570,1873,201845,81688
2018,MCG,122591,1542,158704,30641
2018,MD,80819,912,104754,36451
2018,ME,14550,NA,5,NA
2018,MI,91352,1056,172926,15725
2018,MP,62333,837,153772,6809
2018,MRV,137412,1538,162654,34992
2018,MS,102939,1573,152677,30116
2018,ND,373362,4164,432317,104897
2018,NE,33315,512,66929,13858
2018,NT,55870,633,128546,15193
2018,OS,19171,1,68,NA
2018,OV,98891,734,133088,21743
2018,PA,230567,2249,374726,60571
2018,PE,55219,574,94768,5775
2018,PK,333245,2802,324230,103625
2018,PL,225922,2071,191193,62072
2018,PM,103023,1020,189682,23629
2018,PU,84874,1144,202041,10086
2018,PV,66616,666,157096,13400
2018,QS,68578,612,111106,13869
2018,RD,180916,1322,223472,45729
2018,RI,275100,3638,540718,71177
2018,RN,284820,2512,421173,68987
2018,RX,40274,466,66414,11519
2018,SA,223279,2048,178416,52512
2018,SB,15883,135,35882,631
2018,SC,191703,2686,172722,45256
2018,SJ,157596,2137,221964,51621
2018,SL,117556,2140,216375,24264
2018,SP,85974,925,173509,15469
2018,ST,55838,898,114108,14624
2018,SW,20826,124,40102,1443
2018,SWS,259975,1760,399144,64722
2018,TA,34784,497,104908,8594
2018,TH,194581,1753,152062,50333
2018,TOD,28888,204,47739,3450
2018,TRL,1594315,14975,394068,428446
2018,VV,42043,630,87550,9463
2018,WE,91230,1279,116159,26060
2018,WP,58068,573,71530,13555
2018,WS,373195,2387,312597,75752
2018,WY,62229,579,115280,16140
2018,YO,137585,1296,255993,22390
2018,YW,170623,3361,181002,93349
2019,AB,337559,7314,300374,105936
2019,ACD,229609,1352,219561,54592
2019,AD,100412,712,147747,10518
2019,AG,356784,3404,562590,110006
2019,AH,72816,842,213427,9414
2019,AN,97246,1274,201398,20898
2019,AP,56893,1000,86154,13549
2019,BB,77106,1597,151891,16706
2019,BC,107777,2389,79871,25777
2019,BD,48541,909,114383,13281
2019,BE,198067,1887,287323,26353
2019,BF,235589,3112,482673,66397
2019,BKONE,12221,114,34614,NA
2019,BL,363692,4130,372794,119884
2019,BR,205226,2858,409868,51475
2019,BRW,404356,2625,346131,47541
2019,BUR,85122,1130,123257,17393
2019,CC,67906,1074,155449,14182
2019,CE,134067,2120,270126,21971
2019,CED,355086,4849,374943,124808
2019,CH,202935,3798,270410,47505
2019,CL,1398539,14523,995148,227153
2019,CS,103210,1462,189401,21432
2019,DA,166953,1555,273555,36170
2019,DM,212850,2137,472171,46052
2019,DO,139493,1796,122726,43740
2019,DP,280295,2334,415115,61486
2019,DR,88804,1282,151755,29528
2019,DT,36185,560,138693,4311
2019,DU,109667,1442,169397,40379
2019,EA,225560,3621,441050,38638
2019,EB,45225,512,120847,5383
2019,EG,43655,731,64150,12828
2019,EN,171685,2582,397779,20341
2019,ES,261247,2799,202898,55205
2019,FH,107435,1091,172300,17319
2019,FO,196094,4769,230898,38890
2019,FP,157505,1204,98375,29562
2019,FV,514987,7751,638738,132363
2019,GE,100212,832,167483,16283
2019,GHP,153844,851,194589,28864
2019,GW,26595,342,47291,3327
2019,HB,47611,926,160861,6809
2019,HC,56329,1116,135525,15568
2019,HIL,110800,980,281722,15515
2019,HP,217479,1874,338769,33287
2019,HS,40175,685,51847,11207
2019,HW,94909,669,50965,10952
2019,JD,158197,1755,267037,41567
2019,JO,75303,896,154766,14749
2019,JS,89668,1781,93852,25099
2019,KE,75312,1568,122499,27027
2019,LB,55632,899,128543,13628
2019,LE,157656,1530,330924,21315
2019,LO,204120,2157,335761,36896
2019,LS,262069,3362,273328,91815
2019,MA,118568,1202,252545,23379
2019,MAL,275220,3332,291620,79554
2019,MAS,210369,1819,178398,79476
2019,MCG,120802,1680,152135,29609
2019,MD,77877,1027,89270,31430
2019,ME,10997,NA,2,NA
2019,MI,85449,1129,167353,12713
2019,MP,61718,776,155612,5368
2019,MRV,126402,1505,148594,32754
